No.,Chap,Sect,#,Question,Section Name,Short Text,Question Type,Chemical,LNG,LPG,Oil,Conditional,Hardware Response Type,Human Response Type,Process Response Type,ROVIQ List,Hardware Questions,Process Questions,Human Related Questions,Chapter Names,Roviq_Engine Control Room,Roviq_Compressor Room,Roviq_Interview - Security Officer,Roviq_Main Deck,Roviq_Interview Senior Officer,Roviq_Steering Gear,Roviq_Interview - Deck Rating,Roviq_Interview - Electrician / ETO,Roviq_Mooring Decks,Roviq_Interview - Engineer Officer,Roviq_Interview - Rating,Roviq_Interview - Deck Officer,Roviq_Cargo Control Room,Roviq_Bow Loading Area,Roviq_Chief Engineer's Office,Roviq_Lifeboat deck,Roviq_Engine Room,Roviq_Bridge,Roviq_Forecastle,Roviq_Emergency Headquarters.,Roviq_Internal Accommodation,Roviq_Interview - Galley Rating,Roviq_Documentation,Roviq_Pre-board,Roviq_Exterior Decks,Roviq_Approaching Vessel,Roviq_Interview - Engine Rating,Roviq_Cargo Manifold,Roviq_Pumproom,Roviq_Anywhere,Roviq_Aft Mooring Deck,Potential Grounds for Neg Obs,Expected Evidences
2.1.1,2,1,1,"Were the Master and senior officers familiar with the company procedure for maintaining the vessel’s statutory certification up to date, were all certificates and documents carried onboard up to date and was the vessel free of conditions of class or significant memoranda?",Certification,Maintenance of Statutory Certification,Core,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Documentation, Pre-board",TRUE,TRUE,TRUE,Certification and Documentation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," There was no company procedure which defined the process for managing (indexing and filing) vessel certificates and documents to ensure compliance with SOLAS, Class and Flag requirements. The accompanying officer was unfamiliar with the company procedure for indexing and filing certificates and documents. There was no systematic process in place to track the validity and file all statutory and classification certificates.  A sampling of onboard certificates identified that a required (class or flag) certificate or a supporting survey/test report had expired or was missing.  The onboard tracking or filing of statutory and classification certificates had not been maintained in accordance with company procedures.  The operator had not uploaded a recent copy of the CSSR to the document repository and a copy had not been made available onboard.  The data entered in the HVPQ or PIQ was not accurate as compared to the CSSR and vessel records. The vessel had been issued with:  (a) A condition of class. (b) Memoranda relating to a defect to structure, machinery or equipment. (c) A short-term certificate as a result of a defect or damage to the ship's structure, machinery or equipment.  ","The company procedure for managing statutory certification and supporting documents. Folders containing statutory and classification certificates and supporting surveys/test reports. Certificate index indicating the expiry date all statutory certification, supporting surveys and inspections. The Class Survey Status Report (CSSR)*. List of open defects as reported in the defect reporting system. Details of class attendance during the past twelve months. "
2.2.1,2,2,1,Had the vessel been attended by a company Superintendent at approximately six-monthly intervals and were reports available to demonstrate that a systematic vessel inspection had been completed during each attendance declared through the pre-inspection questionnaire?,Management Oversight,Superintendent vessel inspection and report,Core,TRUE,TRUE,TRUE,TRUE,FALSE,None,None,Binary,Documentation,FALSE,TRUE,FALSE,Certification and Documentation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE, Reports were not available onboard for each declared qualifying vessel inspection conducted by a company Marine or Technical Superintendent.  The inspection report format did not cover all operational and accessible areas of the vessel and its equipment.  The interval between successive qualifying inspections by either a Marine or Technical Superintendent exceeded seven months.  It was more than fourteen months since either the previous Marine or Technical Superintendent inspection.  Where the vessel was new to management there had been no Marine or Technical inspection completed since handover or delivery. Remote inspections had been conducted but there was no company procedure which defined:  (a) The circumstances in which a remote inspection may be used to substitute for a physical inspection. (b) The condition verification processes for all areas of the ship under inspection. (c) The required content of the final inspection report. More than one remote inspection had been conducted when a physical inspection could reasonably have been carried out. There was no evidence that each area for improvement or defect identified within the vessel inspection reports had been followed up through the documented company processes either as non-conformities or defect reports. ,"Qualifying vessel inspection reports completed by company Marine or Technical Superintendents during the previous eighteen months. Evidence that defects and areas for improvement had been followed up through the company defect reporting or non-conformity reporting systems. The company procedure for conducting remote inspections, if applicable. "
2.2.2,2,2,2,"Were recent ISM internal audit reports available on board, had corrective action been taken on board to close-out any non-conformities and had this corrective action been verified by shore management?",Management Oversight,Internal ISM audit,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,Documentation,FALSE,TRUE,TRUE,Certification and Documentation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," There was no company procedure for scheduling and performing internal ISM audits.  No internal ISM audit had taken place for more than:  (a) 15 months  (b) 12 months, with no documentation supporting exceptional circumstances. The latest two internal ISM audit reports under the current operator, where completed, were not available on board. There was no system for recording and tracking any non-conformities to closure. Records in the system for recording and tracking any non-conformities to closure were incomplete.  The system for recording and tracking any non-conformities to closure:  (a) Was not readily available to those responsible for implementing corrective action for any non-conformities. (b) Did not impose a time limit for corrective action to be taken. (c) Did not record when corrective actions were completed. (d)Did not record the operator verification of corrective action completed, or the evidence upon which verification was based, for example, a superintendent's visit or photographs.  A non-conformity had not been closed-out within the imposed time limit.  There was no objective evidence for the corrective action recorded to close-out a non-conformity.  The Master or senior officer interviewed was not familiar with the system for recording and tracking any internal ISM audit non-conformities to closure. The Master or senior officer interviewed was not familiar with the internal audit programme process. Where the vessel operator had recently taken over  management of the vessel and an internal audit had not yet taken place, enter a comment in the Process response tool indicating when the internal audit was planned for completion.  ",The company procedure for scheduling and performing internal ISM audits. The latest two internal ISM audit reports under the current operator. The system for recording and tracking non-conformities to closure. 
2.2.3,2,2,3,Was the Master fully conversant with the company’s Safety Management System and had Master’s Reviews of the system taken place in accordance with the ISM Code and company procedures?,Management Oversight,Master's Review of the SMS.,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,Documentation,FALSE,TRUE,TRUE,Certification and Documentation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," The Master was not familiar with the layout and contents of the SMS. The Master was not proficient in accessing the information contained in the SMS, whether in hard copy or digital format.  There was no company procedure requiring the periodic review of the Safety Management System (SMS) by the Master, including: (a) The format and agenda for the review. (b)The frequency of the review (at least annual). (c) A specified time frame for company responses to the review. The Master was not familiar with the company procedure requiring the periodic review of the Safety Management System (SMS). Master's Reviews had not been performed at the frequency required by the company procedure. The Master's Review(s) had not been fully completed according to the company format and/or agenda. The Master's Review did not:  (a) Identify deficiencies in the SMS and suitable corrective action and/or, (b) Contain suggestions for improvement in the effectiveness of the SMS.  The operator had not responded to the Master's Review(s) within the specified timeframe. ",The Safety Management System. The last two Master's Reviews. The company responses to the last two Master's Reviews. 
2.3.1,2,3,1,"Were the Master and Chief Engineer familiar with the company procedure to maintain the Enhanced Survey File in accordance with Classification Society rules, and was the vessel free of any visible or documentary evidence of concerns with the structural condition of the hull or cargo and ballast tank coatings?",Structural Assessment,Structural concerns and Enhanced Survey File.,Core,TRUE,FALSE,FALSE,TRUE,FALSE,Graduated,Graduated,Graduated,"Documentation, Main Deck, Pre-board",TRUE,TRUE,TRUE,Certification and Documentation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," There was no company procedure which required that the enhanced survey file, or electronic record, was maintained in accordance with classification society guidance.   There was no company procedure which required that the coating technical file was maintained in accordance with classification society guidance.   The accompanying officer was unfamiliar with the company procedure for maintaining the enhanced survey file, or electronic record, and the coating technical file.   The enhanced survey file was found to be missing required surveys and/or reports.   Inspections by ship's staff had not been recorded.   Structural repairs were recorded as having taken place during the previous twelve months within the enhanced survey file, but the vessel's defect reporting system did not include a similar report.   Structural repairs were reported to have taken place following a casualty/incident but there was no incident investigation report available onboard.  The condition evaluation report contained reports of substantially corroded tanks/areas or there were areas with deep pitting recorded within the extract of thickness measurements. (summarize the extract)   The condition evaluation report or any subsequent classification society reports recorded fair or poor cargo and/or ballast tank coating condition. (report which tank(s) and rating assigned).   Coating repairs were reported to have taken place within ballast tanks, but the coating technical file had not been updated accordingly.  Physical inspection of the vessel identified concerns with hull structural integrity such as cracking, denting, distortion, significant corrosion or thinning of structural members which had not been subject to an occasional class survey. (Where there is doubt as to whether corrosion or thinning is significant use the Hardware - slight superficial deterioration - comment option)     Where the vessel had completed a special survey and the condition evaluation report was not available onboard, record a comment within the Process response tool, recording the number of days elapsed since the survey was completed.  ","The Enhanced Survey File (which must be onboard for the lifetime of the ship from at least one year prior to the first special survey). The Coating Technical File, where required to be carried. Supporting documents required to be carried onboard according to the ESP Code. Inspection reports for cargo, ballast and void spaces by ships personnel. Incident investigation reports relevant to structural damage and repair within the scope of the enhanced hull survey. "
2.3.2,2,3,2,"Were the Master and Chief Engineer familiar with the company procedure to maintain the Class Survey File, and was the vessel free of any visible or documentary evidence of concerns with the structural condition of the hull or hold space and ballast tank coatings?",Structural Assessment,Structural concerns and Class Survey File.,Core,FALSE,TRUE,TRUE,FALSE,FALSE,Graduated,Graduated,Graduated,"Documentation, Main Deck, Pre-board",TRUE,TRUE,TRUE,Certification and Documentation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," There was no company procedure to ensure the vessel's Survey File is maintained complete and up to date.   The Master and/or Chief Engineer were not familiar with the company procedure to ensure the vessel's Survey File is maintained complete and up to date.   The Survey File was incomplete and did not include:  (a) Class status reports. (b) Survey reports. (c) Repair history. (d) Coating Technical File, where required to be carried.   Maintenance of the protective coating system was not included in the overall ship's maintenance plan.   Structural repairs were recorded within the Survey File as having taken place during the previous twelve months, but the vessel's defect reporting system did not include a similar report.   Structural repairs were recorded as having taken place following a casualty/incident but there was no incident investigation report available onboard.   Physical inspection of the vessel identified concerns with hull structural integrity such as cracking, denting, distortion, significant corrosion or thinning of structural members which had not been subject to an occasional class survey. (Where there is doubt as to whether corrosion or thinning is significant, use the Hardware - slight superficial deterioration - comment option.)   A survey report contained details of substantially corroded tanks/areas or areas with deep pitting. (Summarise the relevant section of the report.)   Classification society reports recorded fair or  poor ballast tank coating condition. (Report which tank(s) and rating assigned).   Coating repairs were reported to have taken place within ballast tanks, but the coating technical file, where required to be carried, had not been updated accordingly. ","Survey File. Coating Technical File, where required to be carried. Inspection reports for cargo, ballast, hold and void space inspections by ship's personnel. Incident investigation reports relevant to structural damage and repair. "
2.3.3,2,3,3,"Were the Master and senior officers familiar with the company cargo, ballast & void space inspection and reporting procedure and, were records available to demonstrate that all inspections had been accomplished within the required time frame with reports completed in accordance with company instructions?",Structural Assessment,"Cargo, ballast & void space inspection",Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Documentation",TRUE,TRUE,TRUE,Certification and Documentation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," There were no company procedures for the inspection of cargo/ballast/void spaces which gave clear guidance on the inspection frequency, the inspection process and reporting criteria.   The required inspection frequency for ballast and void spaces exceeded twelve months.   The required inspection frequency for cargo spaces on oil and chemical tankers exceeded thirty-six months.   The accompanying officer was unfamiliar with the company cargo/ballast/void space inspection procedure and/or reporting criteria.   Cargo, ballast or void space inspection(s) for any single space was overdue by more than a month according to the company defined inspection period for the space(s) in question.   Any cargo, ballast or void space had been omitted from the onboard inspection regime.   The cargo, ballast and/or void space inspection reports were not prepared in a standard format which permitted the reporting of coating and structural condition in defined areas of the space in question.   Defects to tank structure, coating or fittings were reported in an inspection report but the defects(s) had not been transferred to the defect reporting system for subsequent corrective action.   There were open defect reports specifically related to damage or defects to tank structure.  Defects to tank structure had not been reported to the vessel's Class Society for evaluation.  ","The company procedures, and any referenced industry publications, for inspection of cargo, ballast and void spaces. The inspection reports for all cargo, ballast and void spaces for the previous full inspection cycle. Open defect reports for any defects to tank structure, coatings or fittings. Communications with class relating to any defects to tank structure since the previous renewal or intermediate survey. The enclosed space entry records and permits for recent cargo, ballast and void space inspections. "
2.3.4,2,3,4,"Were the Master and deck officers familiar with the company procedures for detecting leakage of liquids between cargo, bunker, ballast, void and cofferdam spaces which included inspecting the surface of ballast water prior to discharge, and were records available to show that the necessary checks had been performed?",Structural Assessment,"Monitoring cargo, ballast & void spaces for leakage and contamination",Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Main Deck",TRUE,TRUE,TRUE,Certification and Documentation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," There was no company procedure to periodically check empty spaces for ingress of liquids from adjoining spaces or pipeline leakage or, to check the surface of ballast water for contamination prior to discharge.    The accompanying deck officer was unfamiliar with the company procedure for periodically checking empty spaces for liquid ingress or monitoring the levels of full or partially full tanks for migration of liquid between spaces.    The accompanying officer was unfamiliar with the company procedure for inspecting the surface of ballast water prior to discharge when a ballast tank adjoined a cargo or bunker tank or had piping containing oil passing through it.    Records determined that periodic checks to identify the ingress of liquids into empty spaces had not been conducted as required by the company procedures.    Records determined that the surface of ballast water contained in tanks adjacent to cargo or bunker tanks, or which had pipes containing oil passing through them, had not been inspected prior to discharge.    Records determined that ballast lines had not been tested where they passed through cargo tanks or fuel tanks.    Inspection of the ballast tank sighting arrangements determined that numerous bolts were required to be removed from the inspection hatch or, an enclosed space entry was needed to be made, to inspect the surface of the ballast water within a full tank.    Records determined that liquid leakage was detected in an empty space as a result of structural or pipeline failure during the previous twelve months. Records determined that ballast water or a ballast tank was contaminated by oil from an adjacent space or pipeline leakage during the previous twelve months.   ",The company procedure for sighting the surface of ballast water prior to discharge where the ballast tanks were adjacent to a cargo or bunker tank or where oil pipes and/or hydraulic lines pass through the tanks. The company procedure to periodically sound empty tanks to detect liquid migration due to structural failure or pipeline leakage. Records demonstrating that the surface of ballast water had been inspected prior to discharge. Records demonstrating that periodic soundings of empty spaces had been taken in accordance with company procedures. Records demonstrating that the level in full and partially full tanks had been periodically verified to detect the migration of liquid between adjacent or interconnected spaces. Records of ballast line tests where they pass through cargo tanks or fuel tanks. 
2.3.5,2,3,5,Had the vessel been enrolled in a Classification Society Condition Assessment Programme (CAP)?,Structural Assessment,Condition Assessment Program (CAP),Rotational 2,TRUE,TRUE,TRUE,TRUE,TRUE,None,None,Binary,"Documentation, Pre-board",FALSE,TRUE,FALSE,Certification and Documentation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE, The information provided by the operator in the pre-inspection questionnaire was inaccurate. The vessel operator had claimed a CAP rating for modules that were still pending completion.  The date of the CAP survey was inaccurately declared as the CAP certificate issue date.  The operator did not upload the CAP certificate to the document store and the CAP certificate was not available onboard for review.   ,"The CAP certificate showing the completion date of the assessment survey and the final ratings for the modules completed. Where the CAP certificate only showed the issue date rather than the survey completion date, evidence to support the date(s) that the onboard survey was completed. Any information or records that supplemented the CAP certificate. "
2.4.1,2,4,1,"Were the senior officers familiar with the company procedure for reporting defects to vessel structure, machinery and equipment to shore-based management through the company defect reporting system and was evidence available to demonstrate that all defects had been reported accordingly?",Defect Management,Defect reporting system,Core,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Anywhere, Chief Engineer's Office, Documentation",TRUE,TRUE,TRUE,Certification and Documentation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE," There was no defect reporting system.    There was no company procedure for managing defects to vessel structure, machinery and equipment through the defect reporting system.    The accompanying senior officer was unfamiliar with the company defect reporting procedure.    Defects entered in the defect reporting system had not been acknowledged by shore management.    Defects were evident onboard the vessel during the inspection that were required to be entered in the defect reporting system but were not.  (a) In such cases identify the defective equipment in the negative observation module of the Hardware response tool. (b) Such observation should be limited to items listed on the supplements to the statutory certification or subject to class survey.    Defects which had either caused an incident or were caused by an incident that had not been reported through the company incident reporting system for further investigation. Where defects were properly recorded in the defect reporting system and acknowledged by shore management such defects should not result in a negative observation under this question.   ","The company procedure for managing defects to vessel structure, machinery and equipment through the defect reporting system. The defect reporting system or the planned maintenance system where the systems were integrated. Shore based acknowledgement of each defect entered into the defect reporting system. A printed list of all open defects reports entered into the defect reporting system. "
